,Made Donation in March 2007
-9.107387342524811968e-01,6.647449731826782227e-01
1.415311372552455760e+00,8.151816576719284058e-02
-6.658913545888036634e-01,1.274468451738357544e-01
1.910744742340678703e-01,2.170110046863555908e-01
-6.658913545888036634e-01,6.788761615753173828e-01
-7.883150444206423746e-01,7.441504001617431641e-01
-6.658913545888036634e-01,1.717398464679718018e-01
5.583455437295842261e-01,8.272541314363479614e-02
1.660158752216133182e+00,7.942623645067214966e-02
5.583455437295842261e-01,8.162596821784973145e-02
4.359218538977454593e-01,8.967874944210052490e-02
1.910744742340678703e-01,9.527512639760971069e-02
-5.434676647569648411e-01,2.521659731864929199e-01
-6.658913545888036634e-01,1.274468451738357544e-01
-6.658913545888036634e-01,3.138076364994049072e-01
1.910744742340678703e-01,8.775086700916290283e-02
1.910744742340678703e-01,1.535387635231018066e-01
-2.986202850932872521e-01,4.643128216266632080e-01
1.660158752216133182e+00,7.987145334482192993e-02
-7.883150444206423746e-01,3.340612947940826416e-01
-9.107387342524811968e-01,6.431816816329956055e-01
-6.658913545888036634e-01,4.896070063114166260e-01
-5.434676647569648411e-01,5.871173143386840820e-01
-6.658913545888036634e-01,1.274468451738357544e-01
-9.107387342524811968e-01,2.118698805570602417e-01
-5.434676647569648411e-01,2.565340399742126465e-01
-9.107387342524811968e-01,1.957899034023284912e-01
5.583455437295842261e-01,8.272541314363479614e-02
-6.658913545888036634e-01,2.280577421188354492e-01
-9.107387342524811968e-01,6.647449731826782227e-01
-6.658913545888036634e-01,3.081349432468414307e-01
1.660158752216133182e+00,7.958310097455978394e-02
-9.107387342524811968e-01,1.489129811525344849e-01
-6.658913545888036634e-01,2.594441473484039307e-01
-6.658913545888036634e-01,1.207851767539978027e-01
1.910744742340678703e-01,1.811912059783935547e-01
-9.107387342524811968e-01,1.434850990772247314e-01
5.583455437295842261e-01,8.272541314363479614e-02
-6.658913545888036634e-01,5.508941411972045898e-01
-6.658913545888036634e-01,1.274468451738357544e-01
-9.107387342524811968e-01,2.081650197505950928e-01
8.031929233932617596e-01,8.732444047927856445e-02
8.031929233932617596e-01,8.061193674802780151e-02
-9.107387342524811968e-01,5.081269741058349609e-01
5.583455437295842261e-01,8.403712511062622070e-02
-9.107387342524811968e-01,1.489129811525344849e-01
-6.658913545888036634e-01,3.557957708835601807e-01
5.583455437295842261e-01,8.344396203756332397e-02
5.583455437295842261e-01,8.272541314363479614e-02
5.583455437295842261e-01,9.210217744112014771e-02
-9.107387342524811968e-01,6.677400469779968262e-01
-5.434676647569648411e-01,5.504214763641357422e-01
5.583455437295842261e-01,8.893936127424240112e-02
-6.658913545888036634e-01,4.407061934471130371e-01
1.660158752216133182e+00,7.956557720899581909e-02
1.910744742340678703e-01,1.194808334112167358e-01
-9.107387342524811968e-01,1.656672507524490356e-01
-6.658913545888036634e-01,5.063356757164001465e-01
-9.107387342524811968e-01,3.295491337776184082e-01
-9.107387342524811968e-01,6.428834795951843262e-01
-6.658913545888036634e-01,1.274468451738357544e-01
1.910744742340678703e-01,8.506107330322265625e-02
3.134981640659066371e-01,1.183678284287452698e-01
-9.107387342524811968e-01,4.960620701313018799e-01
1.910744742340678703e-01,8.506107330322265625e-02
