,Made Donation in March 2007
6.590000000000000000e+02,5.710616111755371094e-01
2.760000000000000000e+02,1.093496084213256836e-01
2.630000000000000000e+02,1.167601272463798523e-01
3.030000000000000000e+02,3.484721183776855469e-01
8.300000000000000000e+01,6.398692131042480469e-01
5.000000000000000000e+02,7.271655797958374023e-01
5.300000000000000000e+02,1.926491111516952515e-01
2.440000000000000000e+02,5.375561863183975220e-02
2.490000000000000000e+02,1.811899244785308838e-02
7.280000000000000000e+02,4.323022812604904175e-02
1.290000000000000000e+02,9.397043287754058838e-02
5.340000000000000000e+02,9.991563111543655396e-02
3.170000000000000000e+02,1.850704103708267212e-01
4.010000000000000000e+02,1.167601272463798523e-01
6.960000000000000000e+02,2.598916888236999512e-01
1.920000000000000000e+02,6.215759366750717163e-02
1.760000000000000000e+02,2.448584586381912231e-01
5.710000000000000000e+02,5.106063485145568848e-01
1.390000000000000000e+02,6.511806696653366089e-02
4.230000000000000000e+02,2.620830535888671875e-01
5.630000000000000000e+02,6.037593483924865723e-01
5.600000000000000000e+01,4.550705254077911377e-01
5.280000000000000000e+02,5.498720407485961914e-01
1.010000000000000000e+02,1.167601272463798523e-01
4.670000000000000000e+02,1.136579439043998718e-01
3.820000000000000000e+02,1.849376857280731201e-01
4.660000000000000000e+02,1.919594556093215942e-01
2.940000000000000000e+02,5.375561863183975220e-02
5.120000000000000000e+02,2.152972519397735596e-01
6.590000000000000000e+02,5.710616111755371094e-01
3.890000000000000000e+02,2.064185440540313721e-01
4.870000000000000000e+02,4.466794803738594055e-02
7.010000000000000000e+02,1.554584056138992310e-01
4.190000000000000000e+02,1.918285638093948364e-01
5.360000000000000000e+02,5.642669275403022766e-02
2.400000000000000000e+02,2.820288240909576416e-01
5.080000000000000000e+02,6.619999557733535767e-02
5.150000000000000000e+02,5.375561863183975220e-02
2.830000000000000000e+02,5.336887836456298828e-01
6.500000000000000000e+02,1.167601272463798523e-01
6.500000000000000000e+01,2.503581345081329346e-01
2.280000000000000000e+02,1.203534305095672607e-01
7.410000000000000000e+02,4.673546180129051208e-02
2.970000000000000000e+02,5.032142996788024902e-01
4.640000000000000000e+02,6.471561640501022339e-02
6.300000000000000000e+01,1.554584056138992310e-01
2.310000000000000000e+02,4.007009267807006836e-01
2.800000000000000000e+01,5.983376875519752502e-02
2.480000000000000000e+02,5.375561863183975220e-02
3.570000000000000000e+02,1.197874546051025391e-01
3.000000000000000000e+02,5.841425061225891113e-01
7.260000000000000000e+02,5.893644690513610840e-01
6.800000000000000000e+02,1.020102128386497498e-01
5.200000000000000000e+02,3.867211341857910156e-01
2.540000000000000000e+02,3.758624196052551270e-02
5.820000000000000000e+02,1.486915647983551025e-01
1.430000000000000000e+02,1.016343906521797180e-01
9.800000000000000000e+01,5.616483688354492188e-01
1.000000000000000000e+00,2.246531993150711060e-01
2.210000000000000000e+02,5.520551800727844238e-01
3.520000000000000000e+02,1.167601272463798523e-01
6.400000000000000000e+01,4.690850153565406799e-02
