,Made Donation in March 2007
6.590000000000000000e+02,5.532212853431701660e-01
2.760000000000000000e+02,1.192222461104393005e-01
2.630000000000000000e+02,1.523992270231246948e-01
3.030000000000000000e+02,3.114649355411529541e-01
8.300000000000000000e+01,6.351793408393859863e-01
5.000000000000000000e+02,7.445068955421447754e-01
5.300000000000000000e+02,2.045631706714630127e-01
2.440000000000000000e+02,9.977326542139053345e-02
2.490000000000000000e+02,6.171141937375068665e-02
7.280000000000000000e+02,8.078943938016891479e-02
1.290000000000000000e+02,1.359226852655410767e-01
5.340000000000000000e+02,1.159559041261672974e-01
3.170000000000000000e+02,1.739095002412796021e-01
4.010000000000000000e+02,1.523992270231246948e-01
6.960000000000000000e+02,2.919092476367950439e-01
1.920000000000000000e+02,1.078701913356781006e-01
1.760000000000000000e+02,2.514830529689788818e-01
5.710000000000000000e+02,4.715867638587951660e-01
1.390000000000000000e+02,7.868855446577072144e-02
4.230000000000000000e+02,3.008948266506195068e-01
5.630000000000000000e+02,5.979629158973693848e-01
5.600000000000000000e+01,4.580661654472351074e-01
5.280000000000000000e+02,5.472892522811889648e-01
1.010000000000000000e+02,1.523992270231246948e-01
4.670000000000000000e+02,1.770746707916259766e-01
3.820000000000000000e+02,1.650887876749038696e-01
4.660000000000000000e+02,2.162660956382751465e-01
2.940000000000000000e+02,9.977326542139053345e-02
5.120000000000000000e+02,2.392571121454238892e-01
6.590000000000000000e+02,5.532212853431701660e-01
3.890000000000000000e+02,1.792890429496765137e-01
4.870000000000000000e+02,7.295677065849304199e-02
7.010000000000000000e+02,1.790676265954971313e-01
4.190000000000000000e+02,2.036342471837997437e-01
5.360000000000000000e+02,1.101341396570205688e-01
2.400000000000000000e+02,2.766982614994049072e-01
5.080000000000000000e+02,1.245459765195846558e-01
5.150000000000000000e+02,9.977326542139053345e-02
2.830000000000000000e+02,5.305718183517456055e-01
6.500000000000000000e+02,1.523992270231246948e-01
6.500000000000000000e+01,2.433194369077682495e-01
2.280000000000000000e+02,1.377343684434890747e-01
7.410000000000000000e+02,7.790908217430114746e-02
2.970000000000000000e+02,4.949720501899719238e-01
4.640000000000000000e+02,1.038885265588760376e-01
6.300000000000000000e+01,1.790676265954971313e-01
2.310000000000000000e+02,3.635133206844329834e-01
2.800000000000000000e+01,9.874461591243743896e-02
2.480000000000000000e+02,9.977326542139053345e-02
3.570000000000000000e+02,1.471189707517623901e-01
3.000000000000000000e+02,5.594994425773620605e-01
7.260000000000000000e+02,5.160775184631347656e-01
6.800000000000000000e+02,1.368501782417297363e-01
5.200000000000000000e+02,3.837338387966156006e-01
2.540000000000000000e+02,7.567795366048812866e-02
5.820000000000000000e+02,1.556907147169113159e-01
1.430000000000000000e+02,1.298909634351730347e-01
9.800000000000000000e+01,5.164268016815185547e-01
1.000000000000000000e+00,2.823542356491088867e-01
2.210000000000000000e+02,5.113297104835510254e-01
3.520000000000000000e+02,1.523992270231246948e-01
6.400000000000000000e+01,9.170916676521301270e-02
1.380000000000000000e+02,1.492222845554351807e-01
7.450000000000000000e+02,2.774828970432281494e-01
6.400000000000000000e+01,9.170916676521301270e-02
6.880000000000000000e+02,9.272868931293487549e-02
6.230000000000000000e+02,8.641752600669860840e-02
2.890000000000000000e+02,1.088470593094825745e-01
1.740000000000000000e+02,3.293203115463256836e-01
6.900000000000000000e+02,1.523992270231246948e-01
1.050000000000000000e+02,1.481441557407379150e-01
4.270000000000000000e+02,1.259647607803344727e-01
4.800000000000000000e+01,6.416358798742294312e-02
1.400000000000000000e+01,1.523992270231246948e-01
6.570000000000000000e+02,7.801465690135955811e-02
3.010000000000000000e+02,1.118608713150024414e-01
4.550000000000000000e+02,1.081525012850761414e-01
5.790000000000000000e+02,1.739806830883026123e-01
7.220000000000000000e+02,1.085138469934463501e-01
9.800000000000000000e+01,5.164268016815185547e-01
4.910000000000000000e+02,6.416358798742294312e-02
3.030000000000000000e+02,3.114649355411529541e-01
4.660000000000000000e+02,2.162660956382751465e-01
6.500000000000000000e+01,2.433194369077682495e-01
3.000000000000000000e+02,5.594994425773620605e-01
9.000000000000000000e+00,8.188135176897048950e-02
6.220000000000000000e+02,1.078701913356781006e-01
3.230000000000000000e+02,9.371964633464813232e-02
2.890000000000000000e+02,1.088470593094825745e-01
5.680000000000000000e+02,3.538266718387603760e-01
2.900000000000000000e+02,1.523992270231246948e-01
1.560000000000000000e+02,9.216078370809555054e-02
4.640000000000000000e+02,1.038885265588760376e-01
4.260000000000000000e+02,1.050929352641105652e-01
3.060000000000000000e+02,1.740700751543045044e-01
4.000000000000000000e+00,2.713446617126464844e-01
1.200000000000000000e+01,4.507715404033660889e-01
1.870000000000000000e+02,1.792913824319839478e-01
4.060000000000000000e+02,9.131198376417160034e-02
9.600000000000000000e+01,2.045631706714630127e-01
5.090000000000000000e+02,1.790676265954971313e-01
7.330000000000000000e+02,1.110277548432350159e-01
5.480000000000000000e+02,8.539251238107681274e-02
4.780000000000000000e+02,2.237004786729812622e-01
5.010000000000000000e+02,1.219569370150566101e-01
1.270000000000000000e+02,4.576385915279388428e-01
1.990000000000000000e+02,1.091650426387786865e-01
2.990000000000000000e+02,5.233383774757385254e-01
1.620000000000000000e+02,1.523992270231246948e-01
2.350000000000000000e+02,1.123360097408294678e-01
2.300000000000000000e+01,1.296209543943405151e-01
4.730000000000000000e+02,1.523992270231246948e-01
4.870000000000000000e+02,7.295677065849304199e-02
6.830000000000000000e+02,5.863498449325561523e-01
3.030000000000000000e+02,3.114649355411529541e-01
3.090000000000000000e+02,7.536703348159790039e-02
5.690000000000000000e+02,7.841067016124725342e-02
3.400000000000000000e+01,5.620132684707641602e-01
6.860000000000000000e+02,6.807000041007995605e-01
8.400000000000000000e+01,1.773318052291870117e-01
